"CASE"	"SERIAL"	"REF"	"QUESTNNR"	"MODE"	"STARTED"	"IC02_01"	"ZB01_CP"	"ZB01x01"	"ZB01x02"	"ZB01x03"	"ZB01x04"	"ZB01x05"	"ZB01x06"	"ZB01x07"	"ZB01x08"	"ZB01x09"	"ZB01x10"	"BE01_01"	"BE02_01"	"BE03_01"	"BE04_01"	"BE05_01"	"BE06_01"	"BE07_01"	"BE08_01"	"BE09_01"	"BE10_01"	"BE11_01"	"BE12_01"	"BE13_01"	"BE14_01"	"BE15_01"	"BE16_01"	"BE17_01"	"BE18_01"	"BE19_01"	"BE20_01"	"BE21_01"	"BE22_01"	"BE23_01"	"BE24_01"	"BE25_01"	"BE26_01"	"BE27_01"	"BE28_01"	"BE29_01"	"BE30_01"	"BE31_01"	"BE32_01"	"BE33_01"	"BE34_01"	"BE35_01"	"BE36_01"	"BE37_01"	"BE38_01"	"BE39_01"	"BE40_01"	"BE41_01"	"BE42_01"	"BE43_01"	"BE44_01"	"BE45_01"	"BE46_01"	"BE47_01"	"BE48_01"	"BE49_01"	"BE50_01"	"BE51_01"	"BE52_01"	"BE53_01"	"BE54_01"	"BE55_01"	"BE56_01"	"BE57_01"	"BE58_01"	"BE59_01"	"BE60_01"	"BE61_01"	"BE62_01"	"BE63_01"	"BE64_01"	"BE65_01"	"BE66_01"	"BE67_01"	"BE68_01"	"BE69_01"	"BE70_01"	"BE71_01"	"BE72_01"	"BE73_01"	"BE74_01"	"BE75_01"	"BE76_01"	"ER01_01"	"ER02_01"	"ER03_01"	"ER04_01"	"ER05_01"	"ER06_01"	"ER07_01"	"ER08_01"	"ER09_01"	"ER10_01"	"ER11_01"	"ER12_01"	"ER13_01"	"ER14_01"	"ER15_01"	"ER16_01"	"ER17_01"	"ER18_01"	"ER19_01"	"ER20_01"	"ER21_01"	"ER22_01"	"ER23_01"	"ER24_01"	"ER25_01"	"ER26_01"	"ER27_01"	"ER28_01"	"ER29_01"	"ER30_01"	"ER31_01"	"ER32_01"	"ER33_01"	"ER34_01"	"ER35_01"	"ER36_01"	"ER37_01"	"ER38_01"	"ER39_01"	"ER40_01"	"ER41_01"	"ER42_01"	"ER43_01"	"ER44_01"	"ER45_01"	"ER46_01"	"ER47_01"	"ER48_01"	"ER49_01"	"ER50_01"	"ER51_01"	"ER52_01"	"ER53_01"	"ER54_01"	"ER55_01"	"ER56_01"	"ER57_01"	"ER58_01"	"ER59_01"	"ER60_01"	"ER61_01"	"ER62_01"	"ER63_01"	"ER64_01"	"ER65_01"	"ER66_01"	"ER67_01"	"ER68_01"	"ER69_01"	"ER70_01"	"ER71_01"	"ER72_01"	"ER73_01"	"ER74_01"	"ER75_01"	"ER76_01"	"GB01_01"	"GB02_01"	"GB03_01"	"GB04_01"	"GB05_01"	"GB06_01"	"GB07_01"	"GB08_01"	"GB09_01"	"GB10_01"	"GB11_01"	"GB12_01"	"GB13_01"	"GB14_01"	"GB15_01"	"GB16_01"	"GB17_01"	"GB18_01"	"GB19_01"	"GB20_01"	"GB21_01"	"GB22_01"	"GB23_01"	"GB24_01"	"GB25_01"	"GB26_01"	"GB27_01"	"GB28_01"	"GB29_01"	"GB30_01"	"GB31_01"	"GB32_01"	"GB33_01"	"GB34_01"	"GB35_01"	"GB36_01"	"GB37_01"	"GB38_01"	"GB39_01"	"GB40_01"	"GB41_01"	"GB42_01"	"GB43_01"	"GB44_01"	"GB45_01"	"GB46_01"	"GB47_01"	"GB48_01"	"GB49_01"	"GB50_01"	"GB51_01"	"GB52_01"	"GB53_01"	"GB54_01"	"GB55_01"	"GB56_01"	"GB57_01"	"GB58_01"	"GB59_01"	"GB60_01"	"GB61_01"	"GB62_01"	"GB63_01"	"GB64_01"	"GB65_01"	"GB66_01"	"GB67_01"	"GB68_01"	"GB69_01"	"GB70_01"	"GB71_01"	"GB72_01"	"GB73_01"	"GB74_01"	"GB75_01"	"GB76_01"	"GO01_01"	"GO02_01"	"GO03_01"	"GO04_01"	"GO05_01"	"GO06_01"	"GO07_01"	"GO08_01"	"GO09_01"	"GO10_01"	"GO11_01"	"GO12_01"	"GO13_01"	"GO14_01"	"GO15_01"	"GO16_01"	"GO17_01"	"GO18_01"	"GO19_01"	"GO20_01"	"GO21_01"	"GO22_01"	"GO23_01"	"GO24_01"	"GO25_01"	"GO26_01"	"GO27_01"	"GO28_01"	"GO29_01"	"GO30_01"	"GO31_01"	"GO32_01"	"GO33_01"	"GO34_01"	"GO35_01"	"GO36_01"	"GO37_01"	"GO38_01"	"GO39_01"	"GO40_01"	"GO41_01"	"GO42_01"	"GO43_01"	"GO44_01"	"GO45_01"	"GO46_01"	"GO47_01"	"GO48_01"	"GO49_01"	"GO50_01"	"GO51_01"	"GO52_01"	"GO53_01"	"GO54_01"	"GO55_01"	"GO56_01"	"GO57_01"	"GO58_01"	"GO59_01"	"GO60_01"	"GO61_01"	"GO62_01"	"GO63_01"	"GO64_01"	"GO65_01"	"GO66_01"	"GO67_01"	"GO68_01"	"GO69_01"	"GO70_01"	"GO71_01"	"GO72_01"	"GO73_01"	"GO74_01"	"GO75_01"	"GO76_01"	"PI01_01"	"PI02_01"	"PI03_01"	"PI04_01"	"PI05_01"	"PI06_01"	"PI07_01"	"PI08_01"	"PI09_01"	"PI10_01"	"PI11_01"	"PI12_01"	"PI13_01"	"PI14_01"	"PI15_01"	"PI16_01"	"PI17_01"	"PI18_01"	"PI19_01"	"PI20_01"	"PI21_01"	"PI22_01"	"PI23_01"	"PI24_01"	"PI25_01"	"PI26_01"	"PI27_01"	"PI28_01"	"PI29_01"	"PI30_01"	"PI31_01"	"PI32_01"	"PI33_01"	"PI34_01"	"PI35_01"	"PI36_01"	"PI37_01"	"PI38_01"	"PI39_01"	"PI40_01"	"PI41_01"	"PI42_01"	"PI43_01"	"PI44_01"	"PI45_01"	"PI46_01"	"PI47_01"	"PI48_01"	"PI49_01"	"PI50_01"	"PI51_01"	"PI52_01"	"PI53_01"	"PI54_01"	"PI55_01"	"PI56_01"	"PI57_01"	"PI58_01"	"PI59_01"	"PI60_01"	"PI61_01"	"PI62_01"	"PI63_01"	"PI64_01"	"PI65_01"	"PI66_01"	"PI67_01"	"PI68_01"	"PI69_01"	"PI70_01"	"PI71_01"	"PI72_01"	"PI73_01"	"PI74_01"	"PI75_01"	"PI76_01"	"DI01_01"	"DI02_01"	"DI03_01"	"DI04_01"	"DI05_01"	"DI06_01"	"DI07_01"	"DI08_01"	"DI09_01"	"DI10_01"	"DI11_01"	"DI12_01"	"DI13_01"	"DI14_01"	"DI15_01"	"DI16_01"	"DI17_01"	"DI18_01"	"DI19_01"	"DI20_01"	"DI21_01"	"DI22_01"	"DI23_01"	"DI24_01"	"DI25_01"	"DI26_01"	"DI27_01"	"DI28_01"	"DI29_01"	"DI30_01"	"DI31_01"	"DI32_01"	"DI33_01"	"DI34_01"	"DI35_01"	"DI36_01"	"DI37_01"	"DI38_01"	"DI39_01"	"DI40_01"	"DI41_01"	"DI42_01"	"DI43_01"	"DI44_01"	"DI45_01"	"DI46_01"	"DI47_01"	"DI48_01"	"DI49_01"	"DI50_01"	"DI51_01"	"DI52_01"	"DI53_01"	"DI54_01"	"DI55_01"	"DI56_01"	"DI57_01"	"DI58_01"	"DI59_01"	"DI60_01"	"DI61_01"	"DI62_01"	"DI63_01"	"DI64_01"	"DI65_01"	"DI66_01"	"DI67_01"	"DI68_01"	"DI69_01"	"DI70_01"	"DI71_01"	"DI72_01"	"DI73_01"	"DI74_01"	"DI75_01"	"DI76_01"	"BA01_01"	"BA02_01"	"BA03_01"	"BA04_01"	"BA05_01"	"BA06_01"	"BA07_01"	"BA08_01"	"BA09_01"	"BA10_01"	"BA11_01"	"BA12_01"	"BA13_01"	"BA14_01"	"BA15_01"	"BA16_01"	"BA17_01"	"BA18_01"	"BA19_01"	"BA20_01"	"BA21_01"	"BA22_01"	"BA23_01"	"BA24_01"	"BA25_01"	"BA26_01"	"BA27_01"	"BA28_01"	"BA29_01"	"BA30_01"	"BA31_01"	"BA32_01"	"BA33_01"	"BA34_01"	"BA35_01"	"BA36_01"	"BA37_01"	"BA38_01"	"BA39_01"	"BA40_01"	"BA41_01"	"BA42_01"	"BA43_01"	"BA44_01"	"BA45_01"	"BA46_01"	"BA47_01"	"BA48_01"	"BA49_01"	"BA50_01"	"BA51_01"	"BA52_01"	"BA53_01"	"BA54_01"	"BA55_01"	"BA56_01"	"BA57_01"	"BA58_01"	"BA59_01"	"BA60_01"	"BA61_01"	"BA62_01"	"BA63_01"	"BA64_01"	"BA65_01"	"BA66_01"	"BA67_01"	"BA68_01"	"BA69_01"	"BA70_01"	"BA71_01"	"BA72_01"	"BA73_01"	"BA74_01"	"BA75_01"	"BA76_01"	"SC01_01"	"SC02_01"	"SC03_01"	"DF01_01"	"DF02"	"DF04"	"DF04_04"	"DF05"	"DF05_02"	"TIME001"	"TIME002"	"TIME003"	"TIME004"	"TIME005"	"TIME006"	"TIME007"	"TIME_SUM"	"MAILSENT"	"LASTDATA"	"FINISHED"	"Q_VIEWER"	"LASTPAGE"	"MAXPAGE"	"MISSING"	"MISSREL"	"TIME_RSI"	"DEG_TIME"
499			"base"	"interview"	2018-04-25 07:41:30	4	19	52	39	73	69	62	16	29	33	30	68																"Ein Überfall an einem Bushäuschen "													"Eine Person, die vom Fahrrad gefallen ist."	"Jemand der sich vor einem Feuer erschrickt."			"Jemand dem seine Bücher und Stifte aus den Armen gefallen sind."						"Eine Person fällt von der Leiter."													"Einen Menschen der sich vor einer Spinne fürchtet."										"Jemand fällt."						"Schon wieder jemand der einsam rum sitzt."	"Jemand der einsam rumsitzt."				"Eine Person die über einer Schüssel betet?"																			4													6	6			7						7													5										5						4	4				1																			2													1	5			1						1													2										1						1	1				1																			4													5	6			1						5													2										6						2	2				1																			4													2	2			1						3													4										4						5	4				7																			3													5	6			5						5													1										3						3	4				1																			2													1	1			1						1													3										2						2	4				3				"Es war schwierig die Situationen zu beurteilen, wenn man die Mimik der Personen nicht erkannt hat. Je nach dem hätten die Situationen eigentlich sehr unterschiedlich sein können."	"Nein"	"Vielleicht sowas wie; wie stark da eigene Hilfeverhalten ausfallen würde, in Abhängigkeit davon, wie gut man gewisse Situationen interpretiert und wie gefährlich man diese einstuft."	19	1	2		1		47	8	19	704	204	14	70	1066		2018-04-25 07:59:16	T	F	7	7	0	0	0.65	1
502			"base"	"interview"	2018-04-25 08:22:00	4	19	6	75	59	44	9	64	67	70	36	55						"ein Mensch der hinter einem Auto steht und den einen Arm nach oben streckt und den anderen auf dem Kofferraum abgelegt hat"			"Ein Mensch sitzt am Boden und winkt einem Auto zu"																											"Ein Mensch trägt 2 große Kartons"								"Ein Mensch mit einem Gegenstand in der Hand, könnte ein Messer sein bedroht einen anderen Menschen, der schon zusammengekrümmt am Boden kauert"											"Eine Person sitzt auf einem Stuhl und fällt samt diesem nach hinten um!"				"Ein Mensch rutscht auf etwas auf der Treppe Liegendem aus und fällt de Treppe herunter mit ausgestreckten Armen und Beinen"					"Eine Person liegt am Boden und hat am Bein eine Art Flüssigkeit, vielleicht blutet sie,"			"Eine Person liegt auf dem Rücken und hat etwas in der Hand"			"Eine Person sitzt auf dem Boden und hebt den Arm, will vielleicht Hilfe rufen, unter ihr vielleicht eine Lache Blut"					"Mensch hinter einem Auto mit erhobenem Arm"							3			5																											6								7											7				7					6			5			6					3							2			4																											3								7											6				7					6			4			6					4							2			5																											4								7											7				7					7			5			7					3							5			6																											6								1											1				1					2			5			2					4							2			3																											5								7											6				6					6			4			5					3							2			2																											2								4											2				1					3			1			2					2		"nein"	"nein"	"herauszufinden ob die Bilder geeignet sind als gefährlich in einem anderen Test benutzt zu werden "	27	1	2		1		9	24	17	735	53	18	36	877		2018-04-25 08:36:52	T	F	7	7	0	0	0.86	4
503			"base"	"interview"	2018-04-25 08:39:45	4	20	46	47	27	33	41	23	21	44	18	30																		"Eine Person stolpert und lässt dabei Boxen fallen"			"Eine Person hat sich am Bein verletzt."		"Eine Person fällt com Fahrrad "				"Person ist mit dem Fahrrad gestürzt und hat sich verletzt."			"Es brennt"			"Eine Person hat etwas fallen gelassen"								"Eine Person liegt am Boden, eine weitere steht daneben"			"Eine Person liegt am Boden, eine weiter steht mit einem spitzen Gegenstand in der Hand daneben."		"Person attackiert eine weiter Person mit einem Schläger. Person am Boden ist verletzt."	"Eine Person hatbeinen anderen mit einer Waffe verletzt oder getötet."																																															5			5		5				7			6			3								3			4		6	7																																															1			2		2				1			6			2								2			3		3	6																																															3			6		4				4			6			3								3			5		7	7																																															5			2		3				3			2			3								6			3		2	1																																															4			5		4				5			6			4								5			5		5	5																																															2			2		2				1			2			2								3			2		2	2																																	20	1	2		1		4	9	8	601	31	10	25	688		2018-04-25 08:51:13	T	F	7	7	4	4	1.56	28
504			"base"	"interview"	2018-04-25 09:01:07	4	20	54	6	51	9	58	37	60	74	5	71					"Eine Person versucht ein Auto anzuschieben."	"Eine Person steht winkend an einem Auto. Es ist Öl ausgelaufen (?)"			"Die Person sitzt vor einem Auto und hält ihr Bein. Sie winkt."																												"Die Person trägt einen hohen Stapel Kartons."														"Eine Person hält abwehrend die Hände hoch. Vor ihr ist eine Spinne."			"Ein Mensch rennt vor einer Spinne davon."				"Die Person fällt die Treppe herunter."		"Die Person liegt vor einem Auto."											"Die Person sitzt auf dem Boden und hält sich ihr Bein."			"Eine Person nimmt abwehrend die Hände hoch.Vor ihr steht eine zweite Person."							6	4			5																												7														4			7				6		5											5			3							2	3			2																												2														2			2				2		3											2			6							5	5			5																												6														2			2				6		7											6			6							3	3			3																												3														7			7				3		2											2			4							7	6			6																												7														3			2				7		7											7			5							3	7			7																												2														3			2				6		7											6			6				"Nein"	"Bystander Effekt untersuchen?"	21	1	2		1		7	14	11	335	23	10	27	427		2018-04-25 09:08:14	T	F	7	7	1	1	1.46	30
505			"base"	"interview"	2018-04-25 09:25:56	4	20	1	70	67	73	59	19	20	11	28	34	"Ein Schütze der mit einem Gewehr auf einen Menschen geschossen hat"										"Eine Person wird von einer anderen Person mit einem Messer bedroht"								"Jemand stolpert über eine Kiste"	"Jemand fällt vor einen Bus"								"Jemand hatte einen Fahrradunfall"						"Jemand hat seine Geldbörse fallen lassen"																									"Jemand stürzt eine Treppe herunter"								"Jemand erstickt an einem Apfel"			"Jemanden der Joga macht"			"Jemand betet mit einer Opfergabe vor sich"				4										6								6	6								7						7																									6								5			1			2				1										1								1	1								1						1																									1								1			1			1				6										7								4	7								7						3																									7								6			1			1				2										6								4	1								1						5																									2								2			7			5				5										6								4	7								7						4																									5								5			1			1				2										3								3	1								2						5																									2								3			7			7				"Die Bilder waren unterschiedlich klar in der Darstellung der Situation"	"Nein"	"Hilfsbereitschaft in Notsituationen abfragen"	20	1	2		1		11	10	4	445	36	11	15	532		2018-04-25 09:34:48	T	F	7	7	0	0	1.66	35
506			"base"	"interview"	2018-04-25 09:29:31	4	20	29	35	13	52	55	8	50	10	14	75								"ein Auto und eine verletzte Person"		"Zwei Personen, von denen eine mit einem Gewehr auf die andere zielt"			"zwei Personen, von denen eine etwas in der Hand hält"	"Zwei Personen, von denen eine einen Gegenstand in der Hand hält"															"Ein Fahrrad und eine liegende Person"						"Ein Kerzenleuchter und eine Person"															"eine Person, die auf einem Tisch/Regal steht"		"Eine Person und eine Spinne"			"eine Person, die auf einem Stuhl sitzt und fällt"																				"Eine Person und ein Auto"									6		6			1	3															2						2															4		5			6																				1									2		6			1	1															1						1															1		1			1																				1									7		7			1	5															2						2															5		2			6																				1									1		1			7	2															6						7															7		2			1																				7									7		3			1	5															5						2															3		1			5																				1									1		1			1	1															1						1															5		1			1																				1		"Die eine Situation mit dem Gegenstand (Schwert?) in der Hand wurde doppelt gezeigt, einmal schwarz und einmal weiß"	"nein"	"Dass man eventuell in unklare Situationen viel/zu viel reininterpretiert."	24	1	2		1		18	6	6	341	56	10	14	451		2018-04-25 09:37:02	T	F	7	7	0	0	1.54	30
507			"base"	"interview"	2018-04-25 09:39:07	4	20	66	42	16	65	40	36	43	76	25	17																"Zwei Personen, die sich anfassen "	"Person, die eine Kiste auf den Kopf bekommen könnte "								"Person, die vom Fahrrad gefallen ist "											"Person, die zwei große Kartons hält "				"Eine Person, die auf dem Boden liegt und eine Person hält Hände noch (Möglicherweise wurde Person geschubst) "		"Mensch, der auf dem Boden liegt und möglicherweise gefallen ist "	"Person, die von einer anderen Person mit einem Messer attackiert worden ist "																						"Eine Person, die auf dem Boden liegt "	"Ein Mensch, der eine Teekanne fallen lässt "										"Person, die ein Auto anschiebt "																2	6								4											7				5		3	7																						6	6										7																4	1								1											3				6		5	7																						4	2										2																4	7								5											5				6		5	7																						5	3										4																7	4								5											4				2		5	2																						5	6										2																3	7								7											7				6		5	7																						5	2										6																6	1								1											2				1		1	1																						1	2										1	"Wiederholende Bilder mit Zusatzinformstionen und dadurch eine veränderte Bedeutuung "	"Nein "	"Etwas über die Hilfsbereitschaft und die Situatuonseinschätzung herauszufinden. "	19	1	2		1		2	3	4	485	73	10	29	606		2018-04-25 09:49:14	T	F	7	7	0	0	1.95	58
509			"base"	"interview"	2018-04-25 10:09:11	4	20	38	39	45	7	57	69	22	49	32	72							"Im HIntergrund befindet sich ein Auto, im Vordergrund sitzt eine Person, die vielleicht verletzt oder nachdenklich ist. "															"eine Person wird von einem Hirsch/Reh/Rentier gejagt"										"eine Person stapelt Kisten und hat dabei Probleme die Kisten zu stapeln "						"Es gibt zwei Personen, eine davon tritt auf einen Laptop. Vermutlich streiten sich die beiden Personen, oder sind sehr erregt. Die rechte Person ist vielleicht auch verzweifelt. Die linke Person will vermutlich den Laptop zerstören. "	"Eine Person fällt von einer Leiter. "						"eine Person wird von einer anderen Person mit dem Baseballschläger verprügelt"				"eine Person stürzt von einer Komode, oder sitz auf einer Komode und wedelt mit den Armen"								"eine Person fällt vom Stuhl"												"eine Person sitzt nachdenklich oder verletzt oder entspannt oder lesend oder oder oder da"			"eine Person schaut auf eine Uhr und hebt dabei die Hände"											2															4										3						6	7						5				2								6												1			1											4															7										4						1	1						7				1								1												4			2											4															7										5						3	7						7				5								7												4			2											7															1										7						7	1						1				7								1												7			7											4															4										4						6	7						7				2								6												4			2											2															1										1						2	1						2				2								3												5			1					"Nein"	"Ja, ähnliche Bilder, ähnliche Aufgabenstellung. "	"Keine Ahnung. "	22	1	2		1		2	4	2	1129	30	13	21	1201		2018-04-25 10:29:12	T	F	7	7	0	0	2	86
520			"base"	"interview"	2018-04-25 11:43:58	5	20	31	63	53	61	64	24	56	48	2	26		"Person mit MG die jmd. erschossen hat"																						"Person die vom Rad gefallen ist"		"Person die vom Rad gefallen ist"					"tödliche Ampulle mit Stichmännchen, hat evtl. getrunken oder fallen gelassen"																	"Person mit Pistole die jmd. erschossen hat"					"Person rennt vor Spinne weg"			"Person die kippelt und fast vom Stuhl fällt"					"überfahrene Person"		"Leiche mit Blut"	"Person die am Bein blutet"														7																						7		7					5																	7					7			7					7		5	7														7																						1		1					5																	7					3			1					1		1	1														7																						7		5					7																	7					1			5					7		1	7														1																						1		1					1																	1					4			6					1		1	1														5																						7		7					6																	4					1			4					7		7	7														6																						1		1					2																	4					1			4					1		2	1													"nein"	"nein"	"keine Anhnung"	21	2	2		1		26	159	9	258	11	9	14	336		2018-04-25 11:52:04	T	F	7	7	0	0	1.53	70
522			"base"	"interview"	2018-04-25 12:11:27	4	20	68	62	3	4	15	12	19	48	36	46			"Ein humanoides Wesen sitzt in einer Art Pfütze. Im Hintergrund steht ein Auto."	"Ein humanoides Wesen stürzt aus einem Auto in eine Art Flammenmeer."								"Ein humanoides Wesen wird durch ein gleichartiges Wesen mit einer Pistole bedroht."			"Ein humanoides Wesen wird durch ein gleichartiges Wesen mit einem Messer bedroht."				"Ein humanoides Wesen stoplert über eine Art Box."																	"Ein humanoides Wesen trägt zwei große Pappkartons."										"Ein humanoides Wesen liegt in einer Art Blutlache vor einem, mit einem Baseballschläger bewaffneten gleichartigen Wesen."		"Ein humanoides Wesen liegt vor einem gleichartigen, mit einer Pistole bewaffneten Wesen auf dem Boden."														"Ein humanoides Wesen befindet sich in einer offensichtlich recht unkontrollierten horizontalen Körperposition."						"Ein humanoides Wesen sitzt nach vorne gebeugt in etwas Pfützenartigem auf dem Boden."											3	5								6			6				6																	6										6		6														5						3											2	2								6			5				2																	2										6		6														2						2											5	6								6			6				5																	2										6		7														5						5											4	1								2			2				2																	7										2		2														4						5											5	4								3			4				4																	1										5		2														3						5											3	2								2			3				2																	7										2		2														4						3											"Erforschung des Zusammenhangs zwischen unterschiedlichen Graden von persönlicher Bedrohung, Notlagen und Hilfeverhalten."	24	2	2		1		6	6	10	507	42	11	19	601		2018-04-25 12:21:28	T	F	7	7	3	2	1.45	22
524			"base"	"interview"	2018-04-25 12:28:39	4	21	8	64	22	12	4	47	33	1	54	60	"Hier wird eine Person mit einer größeren Waffe bedroht bzw. eventuell sogar verteidigt"			"Autounfall, indem die Person aus dem Wagen fällt, welcher brennt"				"Jemand ist gestürzt und winkt zu einem vorbeifahrenden Auto"				"Ein Mensch bedroht einen anderen Menschen mit einer Waffe"										"Ein Rentier rennt auf eine Person zu bzw. greift an"											"Eine Person lässt seine Bücher ausversehen fallen"														"Eine Person mit Waffe bedroht eine angeschossene Person"							"Jemand rennt vor einer Spinne weg"						"Enwetder eine Person liegt vor dem Auto oder unter ihm"				"Jemand ist gestürzt und hat sich am Bein verletzt"													3			4				5				7										6											7														7							7						4				4													7			6				3				7										4											1														7							1						1				2													5			7				6				7										7											1														7							1						6				5													4			1				5				1										1											6														1							7						3				5													3			7				6				6										7											6														7							1						7				5													6			2				1				1										1											2														1							7						1				1													"Es wurden Angstsituationen präsentiert, die teilweise Lebensgefährlich waren aber andererseits auch einfach nur aus Angst entstanden. Einige waren sehr zweideutig."	"Nein habe ich nicht."	"Man würde meinen, es erfasst, in welchem Situationen man eingreifen würde. Allerdings könnte sich das ja durch soziale Erwünschtheit verzerren, deswegen weiß ich es nicht."	19	1	2		1		8	6	9	378	98	15	19	533		2018-04-25 12:37:32	T	F	7	7	0	0	1.27	16
530			"base"	"interview"	2018-04-25 14:37:55	4	21	45	68	16	29	72	13	6	42	75	20						"Person berührt das Auto"							"Gewalt und Kapitulierung"			"rangelei an der bushaltestelle"				"Stolpern vor einfahrenden Bus"									"Fahrradunfall"													"Hingefallen"			"Gewalt einer Person gegenüber einer unterdrückten zweiten Person"																							"Bedrückte Person"				"Verspätung"			"person berührt ein auto"							4							7			3				6									7													6			6																							5				5			1							1							6			4				7									2													1			6																							1				2			1							1							7			7				7									7													5			7																							6				2			1							7							1			3				1									1													5			1																							4				7			7							1							6			5				6									7													6			5																							5				1			1							1							2			1				1									1													1			2																							4				1			1		"Das auto bild kam zweimal und hat keinen für mich erkennbaren Bezug zu den anderen Bilder gehabt"	"Nein"	"Interpretation und Bereitwilligkeit zu helfen bei eigener Selbsteinschätzung"	21	2	2		1		92	19	17	598	112	12	21	788		2018-04-25 14:52:26	T	F	7	7	0	0	0.8	4
537			"base"	"interview"	2018-04-25 15:17:57	4	21	11	57	28	43	70	76	61	62	7	37							"Eine Person wurde durch ein Auto verletzt und sitzt auf dem Boden."				"Eine Person bedroht eine andere mit einer Art Messer"																	"Eine Person ist vom Fahrrad gefallen und liegt verletzt am Boden"									"Eine Person muss alleine drei schwere Kisten tragen"						"Eine Person hat eine andere mit einem Messer verletzt, weshalb diese jetzt am Boden liegt"														"Eine Person fällt von einem Stuhl, weil dieser gerade umkippt"				"Eine Person wurde durch ein Auto verletzt und liegt am Boden"	"Eine Person liegt am Boden"								"Eine Person sitzt am Boden und winkt, scheinbar weil sie Hilfe braucht"						"Eine Person schiebt ein liegengebliebenes Auto an"							3				2																	2									6						3														7				3	1								1						5							3				6																	3									1						6														5				4	3								2						1							5				6																	6									1						6														6				6	4								5						1							3				3																	2									6						3														3				3	7								5						3							5				3																	5									5						5														3				5	2								5						4							1				2																	1									1						3														1				3	2								1						1	"Ich denke, dass die Figuren in den Bildern häufig die gleichen waren. Sie wurden nur mit verschiedenen Gegenständen oder um 45° gedreht gezeigt."	"Nein"	"Ich denke, man möchte mit der Studie herausfinden, wie sehr der Kontext (z.B. vorhandene Gegenstände) mitbestimmt, ob wir eine Situation als Notfall einschätzen und eingreifen."	20	1	2		1		27	12	12	792	217	15	53	1128		2018-04-25 15:36:45	T	F	7	7	0	0	0.66	0
539			"base"	"interview"	2018-04-25 15:59:39	4	21	23	3	10	25	34	67	65	21	40	5			"Eine Person, die am Bein blutet stitzt am Straßenrand."		"Eine Person versucht ein defektes Auto zu schieben. "					"Eine Person wird durch eine weitere Person mit einer Waffe bedroht."											"Eine Person hat eine Verletzung am Bein, aus der es blutet. "		"Eine Person fällt von einem Fahrrad (BMX)"		"Eine Person sitzt neben einem Fahrrad. "									"Eine Person ist ihre Brieftasche herunter gefallen. "						"Eine verletzte Person liegt auf dem Boden. Eine andere Person kommt dazu um ihr zu helfen. "																									"Eine Person liegt auf dem Boden und blutet, vermutlich aus dem Kopf heraus. "		"Eine Person liegt auf dem Boden und hat einen Apfel in der Hand. Vermutlich hat sie vom Apfel abgebissen. "												4		6					6											6		6		3									7						5																									6		5												2		1					6											2		3		1									1						1																									1		1												5		2					7											5		5		1									2						5																									7		1												3		4					4											2		3		7									3						2																									1		7												5		5					2											6		2		1									3						5																									5		1												2		1					4											3		2		1									1						2																									3		1										"Die Bilder haben Situationen dargestellt, in denen Personen zunehmen mehr oder weniger gefährdet waren. 
"	"Nein."	"Beurteilung der eigenen Hilfeleistungen gemessen an der Gefährdung durch die Situation mit Manipulation unterschiedlicher Variablen. (andere anwesende Personen, Schwere der Verletzung, Bedrohung der eigenen Person)

Wahrnehmung verschiedenen Situationen mit Rückschluss auf die eigene Einstellung zum Thema Bedrohung durch Situationen und Angst vor Bewertung oder sozialen Konsequenzen. "	24	2	2		1		3	9	13	518	199	13	184	788		2018-04-25 16:15:18	T	F	7	7	0	0	1.08	15
545			"base"	"interview"	2018-04-25 16:44:31	4	21	71	52	27	24	69	15	14	30	56	39														"Die rechte Person versucht die linke Person mit einem langen Gegenstand zu schlafen. Die linke Person versucht sich zu schützen."	"Die linke Person bedroht oder greift die rechte Person mit einem riesen Messer an. Die rechte Person versucht die Andere davon abzuhalten."									"Die Person sitzt auf dem Boden, mit (wahrscheinlich) Blut um se herum und hält ihr Knie. Eventuell ein Fahrradunfall.."			"Eine Person sitzt auf dem Boden, evtl. verletzt durch einen Fahrradunfall."			"Die Person erschrickt, weil es vor ihr brennt. Oder sie tanzt um ein Lagerfeuer."									"Die Person fällt von einer Leiter."													"Die Person rennt vor einer Spinne weg oder schlägt auf sie ein - mag jedenfalls ihre Anwesenheit nicht."				"Die Person fällt mit dem Stuhl zusammen um."													"Die Person sitzt am Boden mit hängendem Kopf und hält ihr Knie. (Vielleicht ist sie traurig)"		"Jemand sitzt auf dem Boden, evtl. verletzt bzw. versucht, durch den gehobenen Arm Aufmerksamkeit zu bekommen."																			7	7									6			4			7									7													5				7													4		4																			6	7									1			1			4									1													1				1													1		2																			7	7									6			4			4									7													4				7													4		5																			1	1									2			3			1									1													5				4													5		5																			7	7									7			5			4									7													4				5													3		6																			1	1									1			1			1									1													1				1													4		1						"Man konnte leichter einschätzen, wie gefährlich eine Situation für einen Menschen ist, wenn etwas äußerliches ihn bedroht.., als wenn nur seine Gestalt ohne äußerliche Gefahr zu erkennen ist."	"Nein, noch nie."	"Dass es schwer ist, psychische Probleme von der Ferne als Notsituation zu erkennen (Menschen vor einem Suizid bspw.). Bei physischen Notsituationen fällt dies leichter."	22	1	2		1		261	13	13	724	154	10	75	998		2018-04-25 17:05:21	T	F	7	7	0	0	0.66	1
